exact_date,CO2_concentration,t,month
1958-03-17,1.4297877877369274,0.2083333333333333,3
1958-04-17,3.1119365776654035,0.2916666666666667,4
1958-05-17,3.104085367593882,0.375,5
1958-07-17,1.3183829474508002,0.5416666666666666,7
1958-08-17,0.32053173737926954,0.625,8
1958-09-17,-1.4673194726922816,0.7083333333333334,9
1958-11-17,-1.4830218928353815,0.875,11
1958-12-17,-0.21087310290687356,0.9583333333333334,12
1959-01-17,0.6312756870215708,1.0416666666666667,1
1959-02-17,1.463424476950081,1.125,2
1959-03-17,1.5655732668784594,1.2083333333333333,3
1959-04-17,2.5677220568069856,1.2916666666666667,4
1959-05-17,3.069870846735455,1.375,5
1959-06-17,2.862019636663888,1.4583333333333333,6
1959-07-17,1.1841684265923504,1.5416666666666667,7
1959-08-17,-0.6236827834791825,1.625,8
1959-09-17,-1.6515339935507427,1.7083333333333333,9
1959-10-17,-2.2293852036222574,1.7916666666666667,10
1959-11-17,-0.8172364136937631,1.875,11
1959-12-17,-0.11508762376536197,1.9583333333333333,12
1960-01-17,0.6670611661631369,2.0416666666666665,1
1960-02-17,1.1492099560916245,2.125,2
1960-03-17,1.6813587460200665,2.2083333333333335,3
1960-04-17,3.0635075359485313,2.2916666666666665,4
1960-05-17,4.005656325876998,2.375,5
1960-06-17,3.487805115805429,2.4583333333333335,6
1960-07-17,2.009953905733937,2.5416666666666665,7
1960-08-17,-0.33789730433761633,2.625,8
1960-09-17,-2.1357485144091584,2.7083333333333335,9
1960-10-17,-2.543599724480714,2.7916666666666665,10
1960-11-17,-1.441450934552222,2.875,11
1960-12-17,-0.31930214462374806,2.9583333333333335,12
1961-01-17,0.31284664530471673,3.0416666666666665,1
1961-02-17,1.0549954352331383,3.125,2
1961-03-17,1.8271442251616463,3.2083333333333335,3
1961-04-17,2.69929301509012,3.2916666666666665,4
1961-05-17,3.7314418050185623,3.375,5
1961-06-17,2.8535905949469793,3.4583333333333335,6
1961-07-17,1.5857393848754668,3.5416666666666665,7
1961-08-17,-0.2621118251960297,3.625,8
1961-09-17,-2.129963035267565,3.7083333333333335,9
1961-10-17,-1.8778142453390956,3.7916666666666665,10
1961-11-17,-1.1556654554106558,3.875,11
1961-12-17,-0.31351666548221147,3.9583333333333335,12
1962-01-17,0.5486321244462715,4.041666666666667,1
1962-02-17,1.0907809143747613,4.125,2
1962-03-17,2.152929704303176,4.208333333333333,3
1962-04-17,2.9750784942316386,4.291666666666667,4
1962-05-17,3.3572272841601034,4.375,5
1962-06-17,2.8893760740886023,4.458333333333333,6
1962-07-17,1.8115248640170876,4.541666666666667,7
1962-08-17,-0.4663263460545295,4.625,8
1962-09-17,-1.6841775561260306,4.708333333333333,9
1962-10-17,-2.5820287661975385,4.791666666666667,10
1962-11-17,-1.3798799762690805,4.875,11
1962-12-17,-0.4377311863406135,4.958333333333333,12
1963-01-17,0.5344176035878263,5.041666666666667,1
1963-02-17,0.7965663935162866,5.125,2
1963-03-17,1.5187151834447832,5.208333333333333,3
1963-04-17,2.970863973373241,5.291666666666667,4
1963-05-17,3.773012763301665,5.375,5
1963-06-17,2.9351615532301594,5.458333333333333,6
1963-07-17,1.1273103431586264,5.541666666666667,7
1963-08-17,-0.9105408669129247,5.625,8
1963-09-17,-2.538392076984451,5.708333333333333,9
1963-10-17,-2.826243287056002,5.791666666666667,10
1963-11-17,-1.8140944971275417,5.875,11
1963-12-17,-0.601945707199036,5.958333333333333,12
1964-01-17,0.5502030827294107,6.041666666666667,1
1964-05-17,2.9587982424432653,6.375,5
1964-06-17,2.530947032371728,6.458333333333333,6
1964-07-17,1.0130958223001585,6.541666666666667,7
1964-08-17,-0.8047553877713653,6.625,8
1964-09-17,-2.8626065978428983,6.708333333333333,9
1964-10-17,-2.760457807914406,6.791666666666667,10
1964-11-17,-2.0183090179859278,6.875,11
1964-12-17,-1.0561602280575357,6.958333333333333,12
1965-01-17,-0.3940114381290414,7.041666666666667,1
1965-02-17,0.5381373517994348,7.125,2
1965-03-17,0.9202861417278996,7.208333333333333,3
1965-04-17,2.102434931656319,7.291666666666667,4
1965-05-17,2.0645837215848246,7.375,5
1965-06-17,1.6967325115132894,7.458333333333333,6
1965-07-17,0.9688813014417406,7.541666666666667,7
1965-08-17,-1.4389699086297583,7.625,8
1965-09-17,-2.5568211187013503,7.708333333333333,9
1965-10-17,-3.144672328772856,7.791666666666667,10
1965-11-17,-1.6425235388443866,7.875,11
1965-12-17,-1.160374748915899,7.958333333333333,12
1966-01-17,-0.02822595898749114,8.041666666666666,1
1966-02-17,0.8839228309410032,8.125,2
1966-03-17,1.606071620869443,8.208333333333334,3
1966-04-17,2.8482204107979214,8.291666666666666,4
1966-05-17,3.160369200726393,8.375,5
1966-06-17,2.7625179906548283,8.458333333333334,6
1966-07-17,1.3246667805833,8.541666666666666,7
1966-08-17,-0.7631844294882058,8.625,8
1966-09-17,-2.551035639559757,8.708333333333334,9
1966-10-17,-3.1588868496312443,8.791666666666666,10
1966-11-17,-1.546738059702875,8.875,11
1966-12-17,-0.36458926977439887,8.958333333333334,12
1967-01-17,0.8675595201540887,9.041666666666666,1
1967-02-17,0.9697083100825807,9.125,2
1967-03-17,1.4418571000110205,9.208333333333334,3
1967-04-17,2.754005889939492,9.291666666666666,4
1967-05-17,3.2661546798679524,9.375,5
1967-06-17,2.2883034697964035,9.458333333333334,6
1967-07-17,0.6704522597249252,9.541666666666666,7
1967-08-17,-1.01739895034666,9.625,8
1967-09-17,-2.7552501604182,9.708333333333334,9
1967-10-17,-2.6831013704897373,9.791666666666666,10
1967-11-17,-1.4109525805612293,9.875,11
1967-12-17,-0.24880379063284863,9.958333333333334,12
1968-01-17,0.2933449992956412,10.041666666666666,1
1968-02-17,0.8054937892241014,10.125,2
1968-03-17,1.4776425791525867,10.208333333333334,3
1968-04-17,2.5397913690810583,10.291666666666666,4
1968-05-17,3.021940159009489,10.375,5
1968-06-17,2.7440889489379856,10.458333333333334,6
1968-07-17,1.4562377388664345,10.541666666666666,7
1968-08-17,-0.6416134712050621,10.625,8
1968-09-17,-2.4894646812766155,10.708333333333334,9
1968-10-17,-2.6373158913481802,10.791666666666666,10
1968-11-17,-1.6351671014197109,10.875,11
1968-12-17,-0.13301831149124155,10.958333333333334,12
1969-01-17,0.9091304784372483,11.041666666666666,1
1969-02-17,1.2612792683656835,11.125,2
1969-03-17,2.403428058294139,11.208333333333334,3
1969-04-17,3.365576848222645,11.291666666666666,4
1969-05-17,4.0177256381510915,11.375,5
1969-06-17,3.2798744280795518,11.458333333333334,6
1969-07-17,2.382023218007987,11.541666666666666,7
1969-08-17,0.09417200793649272,11.625,8
1969-09-17,-1.2536792021350607,11.708333333333334,9
1969-10-17,-1.9215304122066073,11.791666666666666,10
1969-11-17,-0.9193816222781379,11.875,11
1969-12-17,0.28276716765032006,11.958333333333334,12
1970-01-17,1.154915957578794,12.041666666666666,1
1970-02-17,2.007064747507286,12.125,2
1970-03-17,2.889213537435751,12.208333333333334,3
1970-04-17,4.021362327364159,12.291666666666666,4
1970-05-17,3.9035111172926236,12.375,5
1970-06-17,3.4256599072211316,12.458333333333334,6
1970-07-17,2.027808697149567,12.541666666666666,7
1970-08-17,0.30995748707800885,12.625,8
1970-09-17,-1.34789372299349,12.708333333333334,9
1970-10-17,-1.4557449330650343,12.791666666666666,10
1970-11-17,-0.5735961431365695,12.875,11
1970-12-17,0.47855264679191123,12.958333333333334,12
1971-01-17,1.450701436720351,13.041666666666666,1
1971-02-17,1.892850226648818,13.125,2
1971-03-17,2.3249990165772942,13.208333333333334,3
1971-04-17,2.867147806505784,13.291666666666666,4
1971-05-17,3.9392965964342466,13.375,5
1971-06-17,3.5114453863626522,13.458333333333334,6
1971-07-17,2.233594176291149,13.541666666666666,7
1971-08-17,0.2357429662196182,13.625,8
1971-09-17,-1.9021082438518988,13.708333333333334,9
1971-10-17,-1.7699594539234909,13.791666666666666,10
1971-11-17,-0.5978106639950056,13.875,11
1971-12-17,0.5443381259334501,13.958333333333334,12
